Battery Voltage (V),Power (W),Humidity (%rel),Epoch Time,Significant Wave Height (m),Peak Period (s),Mean Period (s),Peak Direction (deg),Peak Directional Spread (deg),Mean Direction (deg),Mean Directional Spread (deg),Latitude (deg),Longitude (deg),f,df,a1,b1,a2,b2,varianceDensity,direction,directionalSpread,Wind Speed (m/s),Wind Direction (deg),Surface Temperature (°C),Partition0 Start Frequency (hz),Partition0 End Frequency (hz),Partition0 Significant Wave Height (m),Partition0 Mean Period (s),Partition0 Mean Direction (deg),Partition0 Mean Directional Spread (deg),Partition1 Start Frequency (hz),Partition1 End Frequency (hz),Partition1 Significant Wave Height (m),Partition1 Mean Period (s),Partition1 Mean Direction (deg),Partition1 Mean Directional Spread (deg),Mean Barometric Pressure (hPa),Processing Source
4.1,-0.35,71.2,1775364342,-,-,-,-,-,-,-,34.3985000,-119.8492833,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.33,71.2,1775364331,0.58,10.24,5.76,233.183,30.882,246.405,41.124,34.39850,-119.84928,-,-,-,-,-,-,-,-,-,0.80,257.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.33,71.2,1775362531,0.59,10.24,5.9,233.292,25.485,245.014,38.216,34.39850,-119.84928,-,-,-,-,-,-,-,-,-,0.80,251.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.07,-0.78,67.2,1775360741,-,-,-,-,-,-,-,34.3985000,-119.8492833,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.36,67.2,1775360731,0.64,6.82,5.98,251.375,21.369,244.362,37.665,34.39848,-119.84928,-,-,-,-,-,-,-,-,-,1.20,268.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.36,67.2,1775358931,0.63,10.24,5.92,229.626,27.742,244.318,36.779,34.39848,-119.84928,-,-,-,-,-,-,-,-,-,1.20,251.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.41,58.4,1775357142,-,-,-,-,-,-,-,34.3985000,-119.8492833,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.39,58.4,1775357131,0.61,6.02,5.84,254.456,23.025,244.065,36.627,34.39848,-119.84928,-,-,-,-,-,-,-,-,-,0.80,245.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.1,-0.39,58.4,1775355331,0.67,10.24,5.96,230.511,24.722,245.053,34.336,34.39848,-119.84928,-,-,-,-,-,-,-,-,-,1.20,251.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.13,-0.11,47.2,1775353542,-,-,-,-,-,-,-,34.3984833,-119.8492833,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.13,-0.07,47.2,1775353531,0.63,10.24,5.74,223.631,26.036,244.752,34.555,34.39848,-119.84928,-,-,-,-,-,-,-,-,-,1.20,240.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.13,-0.07,47.2,1775351731,0.62,6.82,5.36,251.809,19.428,246.82,36.269,34.39848,-119.84928,-,-,-,-,-,-,-,-,-,1.20,251.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.13,-0.04,42.4,1775349942,-,-,-,-,-,-,-,34.3985000,-119.8492833,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.13,-0.04,42.4,1775349931,0.61,7.3,5.44,248.065,21.197,247.556,35.404,34.39848,-119.84927,-,-,-,-,-,-,-,-,-,1.20,245.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.13,-0.04,42.4,1775348131,0.64,10.24,5.48,229.206,23.739,246.847,34.811,34.39848,-119.84927,-,-,-,-,-,-,-,-,-,1.60,245.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.13,-0.03,39.2,1775346342,-,-,-,-,-,-,-,34.3984667,-119.8492833,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.13,-0.03,39.2,1775346331,0.62,7.86,5.38,241.827,23.023,245.978,39.796,34.39848,-119.84928,-,-,-,-,-,-,-,-,-,1.60,257.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.13,-0.03,39.2,1775344531,0.64,7.3,5.34,248.321,20.8,246.783,38.127,34.39848,-119.84928,-,-,-,-,-,-,-,-,-,2.00,274.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
